Column,Mean,Std_Dev,RSD,Median,Max,Min
283,0.0025,0.0222,900.81,0.0,1.0,0.0
370,0.0032,0.0219,679.01,0.0,1.0,0.0
256,0.0061,0.0219,356.91,0.0007,1.0,0.0
302,0.0012,0.0217,1790.52,0.0,1.0,0.0
366,0.0025,0.0217,863.58,0.0,1.0,0.0
304,0.0037,0.0216,590.67,0.0002,0.9999999999999999,0.0
291,0.0019,0.0215,1136.81,0.0,1.0,0.0
305,0.0021,0.0215,1034.08,0.0,1.0,0.0
191,0.0011,0.0213,1968.74,0.0,1.0,0.0
279,0.0015,0.021,1426.23,0.0,0.9999999999999999,0.0
297,0.0022,0.0208,939.88,0.0,1.0,0.0
362,0.0031,0.0208,664.12,0.0,0.9999999999999999,0.0
192,0.0052,0.0208,397.58,0.0004,1.0,0.0
103,0.0021,0.0204,976.03,0.0,1.0,0.0
310,0.001,0.0203,1956.62,0.0,1.0,0.0
284,0.0018,0.0203,1122.56,0.0,1.0,0.0
286,0.0015,0.02,1327.38,0.0,1.0,0.0
159,0.0016,0.0199,1228.85,0.0,0.9999999999999999,0.0
111,0.0015,0.0199,1315.65,0.0,1.0,0.0
190,0.0012,0.0198,1718.01,0.0,1.0,0.0
293,0.0013,0.0193,1465.44,0.0,1.0,0.0
285,0.0015,0.0191,1254.84,0.0,1.0,0.0
282,0.0023,0.019,828.85,0.0,1.0,0.0
369,0.0026,0.0189,729.18,0.0,1.0,0.0
173,0.0015,0.0189,1224.08,0.0,1.0,0.0
299,0.0012,0.0187,1561.34,0.0,1.0,0.0
167,0.0013,0.0184,1394.14,0.0,1.0,0.0
308,0.001,0.0182,1873.53,0.0,1.0,0.0
313,0.001,0.0179,1771.43,0.0,1.0,0.0
309,0.0008,0.0179,2352.84,0.0,1.0,0.0
294,0.001,0.0174,1746.56,0.0,1.0,0.0
182,0.0008,0.0173,2169.32,0.0,1.0,0.0
292,0.0013,0.0173,1300.84,0.0,1.0,0.0
314,0.0008,0.0166,2013.05,0.0,1.0,0.0
183,0.0008,0.016,1952.94,0.0,1.0,0.0
303,0.0007,0.0158,2339.29,0.0,1.0,0.0
300,0.0009,0.0156,1743.28,0.0,1.0,0.0
119,0.001,0.0154,1539.58,0.0,1.0,0.0
316,0.0005,0.0149,2796.61,0.0,1.0,0.0
295,0.0008,0.0148,1946.72,0.0,0.9999999999999999,0.0
527,0.0003,0.0121,3749.13,0.0,1.0,0.0
526,0.0009,0.0121,1373.54,0.0001,0.9999999999999999,0.0
311,0.0003,0.0119,4148.87,0.0,1.0,0.0
319,0.0002,0.0117,5063.42,0.0,1.0,0.0
528,0.0003,0.0113,4344.92,0.0,1.0,0.0
317,0.0003,0.0112,3949.45,0.0,1.0,0.0
315,0.0004,0.011,3053.03,0.0,1.0,0.0
318,0.0002,0.0109,4688.06,0.0,1.0,0.0
530,0.0148,0.0107,72.49,0.0146,1.0,0.0
529,0.0036,0.0103,283.79,0.0035,1.0,0.0
531,0.3654,0.0077,2.1,0.3654,1.0,0.0
478,0.0,0.0,0.0,0.0,0.0,0.0
479,0.0,0.0,0.0,0.0,0.0,0.0
480,0.0,0.0,0.0,0.0,0.0,0.0
481,0.0,0.0,0.0,0.0,0.0,0.0
484,0.0,0.0,0.0,0.0,0.0,0.0
482,0.0,0.0,0.0,0.0,0.0,0.0
483,0.0,0.0,0.0,0.0,0.0,0.0
485,0.0,0.0,0.0,0.0,0.0,0.0
476,0.0,0.0,0.0,0.0,0.0,0.0
486,0.0,0.0,0.0,0.0,0.0,0.0
477,0.0,0.0,0.0,0.0,0.0,0.0
469,0.0,0.0,0.0,0.0,0.0,0.0
475,0.0,0.0,0.0,0.0,0.0,0.0
474,0.0,0.0,0.0,0.0,0.0,0.0
473,0.0,0.0,0.0,0.0,0.0,0.0
472,0.0,0.0,0.0,0.0,0.0,0.0
471,0.0,0.0,0.0,0.0,0.0,0.0
470,0.0,0.0,0.0,0.0,0.0,0.0
468,0.0,0.0,0.0,0.0,0.0,0.0
467,0.0,0.0,0.0,0.0,0.0,0.0
466,0.0,0.0,0.0,0.0,0.0,0.0
465,0.0,0.0,0.0,0.0,0.0,0.0
488,0.0,0.0,0.0,0.0,0.0,0.0
487,0.0,0.0,0.0,0.0,0.0,0.0
503,0.0,0.0,0.0,0.0,0.0,0.0
489,0.0,0.0,0.0,0.0,0.0,0.0
490,0.0,0.0,0.0,0.0,0.0,0.0
511,0.0,0.0,0.0,0.0,0.0,0.0
510,0.0,0.0,0.0,0.0,0.0,0.0
509,0.0,0.0,0.0,0.0,0.0,0.0
508,0.0,0.0,0.0,0.0,0.0,0.0
507,0.0,0.0,0.0,0.0,0.0,0.0
506,0.0,0.0,0.0,0.0,0.0,0.0
505,0.0,0.0,0.0,0.0,0.0,0.0
504,0.0,0.0,0.0,0.0,0.0,0.0
463,0.0,0.0,0.0,0.0,0.0,0.0
502,0.0,0.0,0.0,0.0,0.0,0.0
501,0.0,0.0,0.0,0.0,0.0,0.0
500,0.0,0.0,0.0,0.0,0.0,0.0
499,0.0,0.0,0.0,0.0,0.0,0.0
498,0.0,0.0,0.0,0.0,0.0,0.0
497,0.0,0.0,0.0,0.0,0.0,0.0
496,0.0,0.0,0.0,0.0,0.0,0.0
495,0.0,0.0,0.0,0.0,0.0,0.0
494,0.0,0.0,0.0,0.0,0.0,0.0
493,0.0,0.0,0.0,0.0,0.0,0.0
492,0.0,0.0,0.0,0.0,0.0,0.0
491,0.0,0.0,0.0,0.0,0.0,0.0
464,0.0,0.0,0.0,0.0,0.0,0.0
462,0.0,0.0,0.0,0.0,0.0,0.0
384,0.0,0.0,0.0,0.0,0.0,0.0
412,0.0,0.0,0.0,0.0,0.0,0.0
405,0.0,0.0,0.0,0.0,0.0,0.0
406,0.0,0.0,0.0,0.0,0.0,0.0
407,0.0,0.0,0.0,0.0,0.0,0.0
408,0.0,0.0,0.0,0.0,0.0,0.0
409,0.0,0.0,0.0,0.0,0.0,0.0
410,0.0,0.0,0.0,0.0,0.0,0.0
411,0.0,0.0,0.0,0.0,0.0,0.0
413,0.0,0.0,0.0,0.0,0.0,0.0
403,0.0,0.0,0.0,0.0,0.0,0.0
414,0.0,0.0,0.0,0.0,0.0,0.0
415,0.0,0.0,0.0,0.0,0.0,0.0
416,0.0,0.0,0.0,0.0,0.0,0.0
418,0.0,0.0,0.0,0.0,0.0,0.0
419,0.0,0.0,0.0,0.0,0.0,0.0
420,0.0,0.0,0.0,0.0,0.0,0.0
421,0.0,0.0,0.0,0.0,0.0,0.0
404,0.0,0.0,0.0,0.0,0.0,0.0
402,0.0,0.0,0.0,0.0,0.0,0.0
461,0.0,0.0,0.0,0.0,0.0,0.0
392,0.0,0.0,0.0,0.0,0.0,0.0
385,0.0,0.0,0.0,0.0,0.0,0.0
386,0.0,0.0,0.0,0.0,0.0,0.0
387,0.0,0.0,0.0,0.0,0.0,0.0
388,0.0,0.0,0.0,0.0,0.0,0.0
389,0.0,0.0,0.0,0.0,0.0,0.0
390,0.0,0.0,0.0,0.0,0.0,0.0
391,0.0,0.0,0.0,0.0,0.0,0.0
393,0.0,0.0,0.0,0.0,0.0,0.0
401,0.0,0.0,0.0,0.0,0.0,0.0
394,0.0,0.0,0.0,0.0,0.0,0.0
395,0.0,0.0,0.0,0.0,0.0,0.0
396,0.0,0.0,0.0,0.0,0.0,0.0
397,0.0,0.0,0.0,0.0,0.0,0.0
398,0.0,0.0,0.0,0.0,0.0,0.0
399,0.0,0.0,0.0,0.0,0.0,0.0
400,0.0,0.0,0.0,0.0,0.0,0.0
422,0.0,0.0,0.0,0.0,0.0,0.0
423,0.0,0.0,0.0,0.0,0.0,0.0
424,0.0,0.0,0.0,0.0,0.0,0.0
452,0.0,0.0,0.0,0.0,0.0,0.0
445,0.0,0.0,0.0,0.0,0.0,0.0
446,0.0,0.0,0.0,0.0,0.0,0.0
447,0.0,0.0,0.0,0.0,0.0,0.0
448,0.0,0.0,0.0,0.0,0.0,0.0
449,0.0,0.0,0.0,0.0,0.0,0.0
450,0.0,0.0,0.0,0.0,0.0,0.0
